authorMeta/fans,collectCount,commentCount,diggCount,isSponsored,playCount,shareCount,text,videoMeta/duration,webVideoUrl,tanggal,jam,hari_encoded,kota_Balikpapan,kota_Banda Aceh City,kota_Bandar Lampung City,kota_Bandung City,kota_Bandung Regency,kota_Banjarbaru,kota_Banjarmasin,kota_Banyumas Regency,kota_Banyuwangi,kota_Batam,kota_Bekasi City,kota_Bekasi Regency,kota_Binjai,kota_Bitung,kota_Bogor City,kota_Bogor Regency,kota_Central Hulu Sungai Regency,kota_Cilegon,kota_Cimahi,kota_Cirebon,kota_Cirebon City,kota_Deli Serdang Regency,kota_Denpasar,kota_Depok,kota_Garut Kota,kota_Gresik,kota_Hanoi,kota_Hoc Mon,kota_Jakarta,kota_Jambi City,kota_Jember,kota_Kapolei,kota_Kebumen,kota_Kediri City,kota_Kota Karawang,kota_Kuantan,kota_Lhokseumawe,kota_Lumajang,kota_Machang,kota_Madiun City,kota_Magelang,kota_Mahakam Ulu Regency,kota_Makassar,kota_Malang City,kota_Manado,kota_Medan Area,kota_Metro,kota_Muaro Jambi,kota_Nganjuk,kota_Padang,kota_Palembang,kota_Pasuruan Regency,kota_Pekalongan,kota_Pekanbaru,kota_Pematangsiantar,kota_Queens,kota_Salatiga,kota_Samarinda,kota_Saraphi District,kota_Semarang City,kota_Semarang Regency,kota_Sepang,kota_Serang City,kota_Sidoarjo,kota_Sleman,kota_South Tangerang,kota_Sukabumi City,kota_Sumedang,kota_Surabaya,kota_Surakarta City,kota_Tangerang City,kota_Tangerang Regency,kota_Tasikmalaya City,kota_Tegal City,kota_Tidak Mengisi/Tidak diketahui,kota_West Kutai Regency,kota_Yogyakarta City,kota_nan,username_encoded
26700,56,26,599,0,166300,121,"Cuma lewat tiktok promonya, ngopi jadi lebih hemat dan ga ngantri langsung ambil dioutlet terdekat kalian 🫵 #kopikenangan #kopken #promokopi #vouchertiktok #fypシ゚viral🖤tiktok ",15,https://www.tiktok.com/@yeyeny08/video/7509966863074463032,2025-05-29,20,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,410
189,235,34,1147,0,74200,820,New Opening @Kopi Kenangan di jl. Sultan Hasanuddin Makassar. Kopi kenangan pertama yang 24jam 🤩 #cafemakassar #kopikenangan #ngopisantuy ,26,https://www.tiktok.com/@kdnada117/video/7506823347204852999,2025-05-21,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,189
3955,51,7,546,0,343300,10,Kopi kenangan ,5,https://www.tiktok.com/@pamg617/video/7499387186366762246,2025-05-01,8,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,295
1312,48,20,671,0,50300,35,Murah meriah tumpeh 🤭 #kopikenangan #tiktokgo #kopi #ngopi  ,12,https://www.tiktok.com/@3hae_/video/7507174181314759941,2025-05-22,7,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
7505,943,85,5022,0,78300,3618,Sudah Open for Public Today!!Kopken TerAesthetic sih ini🥰 Soon ada Rooftopnya! Gas besok ngopag disini…. #cafebarumalang #kopikenanganmalang #cafemalang #malang ,45,https://www.tiktok.com/@niceplacencoffee/video/7507268465745480965,2025-05-22,13,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,272
95500,25,4,235,0,38100,7,Aku yang doyan jajan kopi jadi hemat deh karna belinya lewat TikTok ✨#kopikenangan ,16,https://www.tiktok.com/@bundashahzan/video/7510859542587067655,2025-06-01,6,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58
291,96,15,1159,0,202300,67,"Coffee??? Yes, please..",13,https://www.tiktok.com/@ririnfrasasti1/video/7515793682969185544,2025-06-14,13,6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,327
35000,2,0,12,0,207,0,cuma 35rb udah bisa ngopi bareng2 kamu.mau tau caranya belinya klik tag lokasi di video ini😍🔥 #kopikenangan #kopilovers #kopken #kopi #jelajahbegah #fyppp #fypdong ,15,https://www.tiktok.com/@riachinagha/video/7516450615543827717,2025-06-16,7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,321
1105,0,0,117,0,8941,2,butterschotch sea salt terbaiqqq🫰🏻🫰🏻🫰🏻 lovvvv kopkeennn bgttt mwahhh #kopikenangan #kopi #ngopi #jkt ,20,https://www.tiktok.com/@xorainsdey/video/7516078540845010181,2025-06-15,7,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,408
36300,2276,86,7233,0,127600,1334,info loker nomor 2 #duniakerja #tiktokcorporate #infoloker ,13,https://www.tiktok.com/@radarmawan/video/7515406010404621574,2025-06-13,12,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,307
